Price,Close,High,Low,Open,Volume
Ticker,SAN.MC,SAN.MC,SAN.MC,SAN.MC,SAN.MC
Date,,,,,
2000-08-03,2.746262311935425,2.763380585873708,2.7340350119024084,2.7340350119024084,11971331
2000-08-04,2.756045341491699,2.76093631731667,2.751154365666728,2.7584906946739816,7911217
2000-08-07,2.8098459243774414,2.8098459243774414,2.75115474529978,2.75115474529978,13353479
2000-08-08,2.829408645629883,2.873427146236658,2.8000627989184794,2.8098447478222806,19586054
2000-08-09,2.8514184951782227,2.8832099735312453,2.829409507629968,2.8367458368127196,15335417
2000-08-10,2.8391902446746826,2.8636453857020077,2.8318539179347426,2.8367448922481433,8064152
2000-08-11,2.8929903507232666,2.8929903507232666,2.804953101147996,2.8294079675467563,11357619
2000-08-14,2.9076638221740723,2.917445771495822,2.883209218330039,2.8856545709303054,10485621
2000-08-15,2.949237108230591,2.949237108230591,2.9052188691492566,2.90766422208585,12074693
2000-08-16,3.0103750228881836,3.0103750228881836,2.9394565276483244,2.9394565276483244,22059222
2000-08-17,3.005483388900757,3.0103743649967765,2.976137801785058,2.998147059486937,11300496
2000-08-18,3.07395601272583,3.1033018645038397,3.010373872794229,3.010373872794229,26888067
2000-08-21,3.025048017501831,3.069066273983437,3.005484108434019,3.0397206798422047,8782084
2000-08-22,3.025048017501831,3.025048017501831,2.9736931603895527,3.0079297317977383,11857305
2000-08-23,3.0103750228881836,3.0226023310701953,2.9443475048132246,3.0103750228881836,10936019
2000-08-24,2.9223365783691406,3.000591360069075,2.92233657836914,2.981027732009173,9030920
2000-08-25,2.949237108230591,2.9663553871678814,2.915000819816388,2.915000819816388,6018070
2000-08-28,2.934565544128418,2.963911137593792,2.927229213127194,2.963911137593792,4632083
2000-08-29,2.8856544494628906,2.9467912259598528,2.878318122510561,2.94434587346252,8041234
2000-08-30,2.9565744400024414,2.959019793546153,2.8636466939742617,2.897883260348901,10328873
2000-08-31,2.9590187072753906,2.971246009426136,2.9296731282215314,2.971246009426136,10222887
2000-09-01,2.9101102352142334,2.963910432186283,2.8929919539785245,2.9590194561960215,12064434
2000-09-04,2.8832104206085205,2.932119648691392,2.8807650669885585,2.932119648691392,6046836
2000-09-05,2.9174458980560303,2.927227847802126,2.868536418785905,2.8807639906987013,10515769
2000-09-06,2.9076638221740723,2.937009400678981,2.9076638221740723,2.919891124096089,8238931
2000-09-07,2.9565744400024414,2.959019793546153,2.907664943984194,2.929674203719383,10558311
2000-09-08,2.9174458980560303,2.95657342758006,2.8881003182780964,2.9467914778339646,10645277
2000-09-11,2.983473300933838,2.983473300933838,2.9150004630259962,2.9174458156632834,11226653
2000-09-12,2.983473300933838,2.9908098977663906,2.959018696719584,2.983473300933838,14862443
2000-09-13,2.9639103412628174,2.9834739751632986,2.9419010847120215,2.9736922929432614,10701081
2000-09-14,3.056837797164917,3.056837797164917,2.9516827692293726,2.9688010483905343,16501158
2000-09-15,3.0690650939941406,3.0788470447670977,3.012819550700592,3.0226012320131677,43255719
2000-09-18,2.990809679031372,3.0641734863086185,2.9908096790313716,3.0543918070145146,17081077
2000-09-19,2.9883646965026855,2.9883646965026855,2.9370098587445432,2.96146473586298,12513145
2000-09-20,2.966356039047241,3.0079292037883807,2.9541287327564727,3.0005926044455693,11589888
2000-09-21,2.93945574760437,2.988364967353368,2.9247828200034265,2.9761376624161184,14341519
2000-09-22,3.042165517807007,3.0421655178070064,2.8978829382536557,2.919891926082134,3258439
2000-09-25,3.0323832035064697,3.0641741395452358,3.0128195712872587,3.0348285564862274,14735730
2000-09-26,3.022602081298828,3.0519476724027923,3.0005928206057404,3.020156727648688,8958424
2000-09-27,3.0079288482666016,3.0446107628032935,2.998146896605988,3.0226015062971157,8533637
2000-09-28,3.0543923377990723,3.056837690682464,2.961464616864222,3.022601133552743,12288650
2000-09-29,3.042165517807007,3.0568381763593253,3.0128199312419537,3.037274541802762,10646012
2000-10-02,3.0348291397094727,3.05194742223866,3.0079291739210605,3.0079291739210605,10195759
2000-10-03,3.0519461631774902,3.054391785078697,3.020155234144396,3.047055188835401,8809394
2000-10-04,2.983473300933838,3.029937426185404,2.966355024091791,3.0201554767155643,12359384
2000-10-05,3.056837797164917,3.0641741255310198,2.978582999185593,2.978582999185593,14603206
2000-10-06,3.020155668258667,3.0666195269967,3.0005917680782135,3.032382971141269,8520323
2000-10-09,2.929673433303833,3.0054828762091006,2.910109801717445,2.998146548046752,10545925
2000-10-10,2.9883646965026855,2.990810318944721,2.922337201933865,2.9590191134209447,16237369
2000-10-11,2.836745023727417,2.959018578848677,2.8367450237274174,2.94434592468874,21223741
2000-10-12,2.697352886199951,2.697352886199951,2.697352886199951,2.697352886199951,0
2000-10-13,2.780499219894409,2.8122904196655414,2.6826805375021854,2.787835546972234,30691067
2000-10-16,2.785390853881836,2.8343000719271694,2.7658272205557823,2.8343000719271694,14553836
2000-10-17,2.8440818786621094,2.8954369861342766,2.7976180160981703,2.802508991546014,14615083
2000-10-18,2.7389273643493652,2.863646588055899,2.7218090817952034,2.812291470932978,18600463
2000-10-19,2.8440818786621094,2.8440818786621094,2.7413722026385443,2.787836065202483,14198481
2000-10-20,2.8612008094787598,2.922337881767184,2.8196279128967494,2.8612008094787598,22650787
2000-10-23,2.782945394515991,2.8807643657929067,2.782945394515991,2.866091439263253,7430172
2000-10-24,2.9247820377349854,2.9247820377349854,2.8049538346944694,2.8122904312628836,11713515
2000-10-25,2.8636467456817627,2.929674256619111,2.802509672459697,2.885655736353912,10845099
2000-10-26,2.7046902179718018,2.856309105460903,2.704690217971802,2.836745473657927,21746664
2000-10-27,2.7487082481384277,2.75115360064072,2.665562221155534,2.75115360064072,29656071
2000-10-30,2.7535996437072754,2.80250913116191,2.7193630833271505,2.7878362040874003,8050481
2000-10-31,2.7134816646575928,2.7134816646575923,2.7134816646575923,2.7134816646575923,0
2000-11-01,2.7134816646575928,2.7134816646575923,2.7134816646575923,2.7134816646575923,0
2000-11-02,2.960012912750244,2.960012912750244,2.8585408601041835,2.893189813782425,17944623
2000-11-03,2.9451632499694824,2.9946615949040325,2.9228888856664814,2.9451632499694824,16747305
2000-11-06,2.942688465118408,2.9699127211947114,2.900614813150421,2.955063052596866,11182685
2000-11-07,2.9327876567840576,2.937737271413191,2.8832887834323264,2.937737271413191,8927030
2000-11-08,2.870914936065674,2.964962274086996,2.863490239516081,2.932788407234686,10475825
2000-11-09,2.821416139602661,2.900614079383684,2.799142051399798,2.851115196579237,9341121
2000-11-10,2.771916627883911,2.8511139887006736,2.7496422764115174,2.8288399099342563,16644717
2000-11-13,2.7991421222686768,2.821416211035477,2.7248943415943803,2.769442791834079,9083793
2000-11-14,2.9129886627197266,2.920413358784768,2.7941921621486023,2.8090415542786853,12125670
2000-11-15,2.9204132556915283,2.945162696211476,2.8387405110348256,2.8907139270675914,13353109
2000-11-16,2.870914936065674,2.910514044879797,2.836265988559426,2.8882394098187976,9128815
2000-11-17,2.776867628097534,2.920413294180741,2.776867628097534,2.841215628885299,17305155
2000-11-20,2.5862998962402344,2.8214179694597945,2.5417511455298136,2.8040934855953275,51673780
2000-11-21,2.5862998962402344,2.6333234563428927,2.4774031015626883,2.526901743763853,36335416
2000-11-22,2.512049913406372,2.6605457125681684,2.512049913406372,2.6110468401415345,25680743
2000-11-23,2.5491740703582764,2.573923235214921,2.5145251304765535,2.524424632795581,13536171
2000-11-24,2.630845785140991,2.672919680691581,2.578872390083767,2.596196855102842,14213963
2000-11-27,2.5961978435516357,2.7050945612325665,2.5788733719366257,2.6753955059934174,12997061
2000-11-28,2.551649570465088,2.6184723882598195,2.5170006211771163,2.598673105540746,14502027
2000-11-29,2.630845785140991,2.6357953985413216,2.5244239156204054,2.549173346151921,18868620
2000-11-30,2.529374361038208,2.6234213997363347,2.5071000049873815,2.6234213997363347,19715424
2000-12-01,2.5442237854003906,2.571447753407494,2.52937412518251,2.5442237854003906,45118456
2000-12-04,2.440277099609375,2.546698715162454,2.4303773256536396,2.536798941206719,77788030
2000-12-05,2.5615487098693848,2.5739232925734683,2.447702112662126,2.4600766953662094,22744248
2000-12-06,2.5615487098693848,2.5615487098693848,2.5615487098693848,2.5615487098693848,0
2000-12-07,2.667970657348633,2.697669710884503,2.5466990902925652,2.561548753413531,25871350
2000-12-08,2.667970657348633,2.667970657348633,2.667970657348633,2.667970657348633,0
2000-12-11,2.7966670989990234,2.809041683913868,2.7075699239884807,2.7075699239884807,28625974
2000-12-12,2.7595431804656982,2.8758645990084677,2.7595431804656982,2.7644930686790636,26086138
2000-12-13,2.7471671104431152,2.8189397689524816,2.7471671104431152,2.7842908429053517,23843530
2000-12-14,2.712519407272339,2.76201773953716,2.6704454975999643,2.7471683489401393,17207385
2000-12-15,2.6283724308013916,2.6852960220312676,2.606098065056791,2.677871324351784,29629670
2000-12-18,2.598672389984131,2.6976695944385267,2.586297807603844,2.62837144223803,15840281
2000-12-19,2.712519407272339,2.7199441025708495,2.6085723095628737,2.615997004861384,36651475
2000-12-20,2.5615487098693848,2.692719777403572,2.5590736297049346,2.633321398635492,13054958
2000-12-21,2.6258976459503174,2.660546871745328,2.541750071574743,2.5739242163170326,17023180
2000-12-22,2.658071994781494,2.6605470760242533,2.5838239207975136,2.6110481782308166,32385218
2000-12-25,2.658071994781494,2.658071994781494,2.658071994781494,2.658071994781494,0
2000-12-26,2.658071994781494,2.658071994781494,2.658071994781494,2.658071994781494,0
2000-12-27,2.732318639755249,2.739743334929082,2.6283715437912902,2.6283715437912902,19242230
2000-12-28,2.764492988586426,2.7669677962683643,2.7224190763448286,2.7248941567328475,10398311
2000-12-29,2.821416139602661,2.8263660278831058,2.7719178022103983,2.7719178022103983,15201772
2001-01-01,2.821416139602661,2.821416139602661,2.821416139602661,2.821416139602661,0
2001-01-02,2.764492988586426,2.843690379587502,2.7372687405547005,2.7917169639120702,8233540
2001-01-03,2.764492988586426,2.7793423800902173,2.6877701325612073,2.727368964414786,14431675
2001-01-04,2.925363063812256,2.9501125036555216,2.8758644568318004,2.908038592275008,31069021
2001-01-05,2.9327876567840576,2.9847607920382755,2.8857635907468926,2.9179379947785384,32047368
2001-01-08,2.987236261367798,2.987236261367798,2.8907138548117848,2.900613903478386,37594166
2001-01-09,2.935263156890869,2.9624874073068748,2.8832894639575377,2.940213045394334,64657589
2001-01-10,2.955061435699463,2.9699110961721384,2.900613226045011,2.932787354049468,17355681
2001-01-11,2.9699110984802246,2.9822856791973984,2.9327873563287037,2.9327873563287037,27480325
2001-01-12,2.989711284637451,3.014460726323816,2.9624873078415925,2.9624873078415925,20447150
2001-01-15,2.9996118545532227,3.00208666302327,2.960013010089301,2.977337487498131,17061100
2001-01-16,2.982285976409912,2.9946605583603283,2.9402123432372904,2.979811169102245,11793769
2001-01-17,3.044159173965454,3.056533755977241,2.96991140918869,2.96991140918869,23048095
2001-01-18,3.0639595985412598,3.0837588826366207,2.9971367761015424,3.0169360601969033,18704460
2001-01-19,2.898139238357544,3.0763335781732764,2.8610149403269434,3.061484186208343,43974413
2001-01-22,2.9204132556915283,2.9649619759213515,2.9030887836806065,2.9204132556915288,14956932
2001-01-23,2.9971349239349365,2.9971349239349365,2.873388315810636,2.9352617562257732,22322654
2001-01-24,2.9971349239349365,2.9971349239349365,2.9971349239349365,2.9971349239349365,0
2001-01-25,3.004561185836792,3.0441600229417314,2.9847616309312635,2.9847616309312635,13174923
2001-01-26,3.004561185836792,3.004561185836792,3.004561185836792,3.004561185836792,0
2001-01-29,2.861013412475586,2.9946595050262266,2.8214146005390193,2.9946595050262266,32292474
2001-01-30,2.8931884765625,2.898138636464201,2.836265182871367,2.8709141205350104,41933075
2001-01-31,2.9372286796569824,2.987012295629084,2.882466674660041,2.909847677158512,19597712
2001-02-01,2.9795444011688232,2.987011846444988,2.9073579083021346,2.9347391809593293,24862627
2001-02-02,2.884956121444702,2.969588472014327,2.874999616327392,2.9621210246072613,10820220
2001-02-05,2.9073598384857178,2.909849171414599,2.8525980796439945,2.8650439214590935,32928118
2001-02-06,2.884956121444702,2.90238034824541,2.862553779223506,2.8998912905351655,14471305
2001-02-07,2.939718008041382,2.9471854544321974,2.8376614445600015,2.8650424470280504,12613480
2001-02-08,2.9621214866638184,2.9795457161825034,2.9148271885811554,2.929762085724957,11183969
2001-02-09,2.932250499725342,2.947185392191568,2.8998908346450833,2.937228614363225,13717153
2001-02-12,2.987013101577759,2.987013101577759,2.8998916815506157,2.912337520332674,14290208
2001-02-13,2.987013101577759,2.987013101577759,2.949675585231585,2.987013101577759,10565904
